price,live_rooms,live_square,map_city,map_lat,map_lon,year,house_complex_name,flat_floor,house_floor_num,flat_building,flat_renovation,live_furniture,flat_toilet,mortgage,flat_priv_dorm
16500000,1,22,алматы,43.247434,76.885296,1951,198.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0
70000000,2,50,алматы,43.207913629817,76.896808426471,2023,1481.0,14.0,17.0,3.0,1.0,2.0,2.0,0.0,2.0
29000000,1,35,алматы,43.24377286247,76.913049652778,1986,1522.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
37000000,3,56,алматы,43.201609743329,76.884826609787,1973,1601.0,4.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
31000000,2,43,алматы,43.239941,76.859658,1978,23.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
26000000,1,29,алматы,43.261494803805,76.899913108869,2025,1992.0,8.0,12.0,3.0,1.0,2.0,2.0,0.0,2.0
26000000,1,46,алматы,43.243369,76.81361,2010,123.0,8.0,9.0,3.0,1.0,1.0,2.0,0.0,2.0
57000000,4,83,алматы,43.226792,76.837838,1986,1601.0,3.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
11500000,1,14,алматы,43.266694333841,76.935605407409,1980,1601.0,3.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0
48000000,3,75,алматы,43.200358101576,76.840367294303,1995,1050.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0
72000000,2,105,алматы,43.216421692117,76.883046710645,2012,109.0,7.0,9.0,3.0,1.0,2.0,2.0,0.0,2.0
55000000,3,118,алматы,43.286586337212,77.004190685535,2010,73.0,5.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0
59000000,3,84,алматы,43.307575,76.839392,2017,3141.0,2.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
25000000,1,44,алматы,43.343443,76.973313,2018,1601.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0
36499999,1,36,алматы,43.236930943868,76.887052909439,2023,997.0,4.0,9.0,3.0,1.0,2.0,2.0,0.0,2.0
65000000,2,55,алматы,43.20664067081,76.894626180536,2022,1906.0,5.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0
80000000,3,84,алматы,43.235712,76.957377,1986,2278.0,5.0,9.0,1.0,4.0,2.0,1.0,0.0,2.0
42500000,3,70,алматы,43.321728068121,77.018997182552,2023,1866.0,2.0,10.0,3.0,1.0,2.0,2.0,0.0,2.0
42500000,3,67,алматы,43.211326,76.870707,1986,2125.0,3.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
38800000,2,65,алматы,43.245248,76.816162,2010,880.0,8.0,9.0,3.0,1.0,2.0,2.0,0.0,2.0
59999999,4,100,алматы,43.22241,76.845501,1992,1601.0,8.0,9.0,2.0,1.0,2.0,1.0,0.0,2.0
52000000,3,74,алматы,43.239646,76.824929,2007,2455.0,9.0,9.0,3.0,1.0,1.0,1.0,0.0,2.0
65000000,2,70,алматы,43.204534999595,76.926740383305,2006,391.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0
71500000,3,95,алматы,43.213438898152,76.853080271476,2005,1137.0,8.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0
43500000,2,64,алматы,43.205807,76.901394,1989,1605.0,3.0,9.0,2.0,1.0,2.0,2.0,0.0,2.0
33500000,2,64,алматы,43.359412,76.993902,2007,1428.0,4.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0
39700000,3,56,алматы,43.20235,76.882332,1973,777.0,3.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
17500000,1,28,алматы,43.313309,76.896875,2014,818.0,3.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0
77500000,2,68,алматы,43.240405217908,76.909024952709,2019,984.0,10.0,14.0,3.0,1.0,2.0,2.0,0.0,2.0
44000000,4,83,алматы,43.235786460468,76.826741794967,1989,779.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0
44000000,3,65,алматы,43.265179638936,76.918001685368,2020,1522.0,6.0,13.0,3.0,1.0,2.0,2.0,0.0,2.0
60000000,2,66,алматы,43.197336,76.910521,1992,772.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0
35000000,3,58,алматы,43.247531434825,76.86078974444,1980,1601.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0
43500000,3,57,алматы,43.227921,76.926951,1970,1601.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0
48000000,2,70,алматы,43.212810816248,76.843896958251,2014,512.0,16.0,17.0,3.0,2.0,2.0,1.0,0.0,2.0
19950000,1,32,алматы,43.217147,76.773932,2021,2503.0,7.0,10.0,3.0,1.0,2.0,2.0,0.0,2.0
27500000,1,42,алматы,43.201443,76.870555,1982,512.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0
